Token	Lemma	POS	Tag	Dependency	Head	Ent Type	IsAlpha	IsPunct	IsStop
A	a	DET	DT	det	CHIPMUNK		True	False	True
NEW	new	ADJ	JJ	amod	CHIPMUNK		True	False	False
CHIPMUNK	chipmunk	NOUN	NN	ROOT	CHIPMUNK		True	False	False
FROM	from	ADP	IN	prep	CHIPMUNK		True	False	True
NORTHEASTERN	northeastern	ADJ	JJ	amod	CHINA		True	False	False
CHINA	CHINA	PROPN	NNP	pobj	FROM	GPE	True	False	False
.	.	PUNCT	.	punct	CHIPMUNK		False	True	False
"
"	"
"	SPACE	_SP	ROOT	"
"		False	False	False
BY	by	ADP	IN	agent	"
"		True	False	True
GERRIT	GERRIT	PROPN	NNP	nmod	.	PERSON	True	False	False
8	8	NUM	CD	nummod	GERRIT	PERSON	False	False	False
.	.	PUNCT	.	punct	BY	PERSON	False	True	False
"
"	"
"	SPACE	_SP	punct	BY	PERSON	False	False	False
MILLER	MILLER	PROPN	NNP	ROOT	MILLER	PERSON	True	False	False
,	,	PUNCT	,	punct	MILLER		False	True	False
JR	JR	PROPN	NNP	appos	MILLER		True	False	False
.	.	PUNCT	.	punct	MILLER		False	True	False
"
"	"
"	SPACE	_SP	punct	refers		False	False	False
In	in	ADP	IN	prep	refers		True	False	True
a	a	DET	DT	det	paper		True	False	True
paper	paper	NOUN	NN	pobj	In		True	False	False
recently	recently	ADV	RB	advmod	published		True	False	False
published	publish	VERB	VBN	acl	paper		True	False	False
in	in	ADP	IN	prep	published		True	False	True
these	these	DET	DT	det	Proceedings		True	False	True
Proceedings	Proceedings	PROPN	NNPS	pobj	in		True	False	False
(	(	PUNCT	-LRB-	punct	Proceedings		False	True	False
1898	1898	NUM	CD	npadvmod	Proceedings	DATE	False	False	False
,	,	PUNCT	,	punct	Proceedings		False	True	False
pp	pp	NOUN	NNS	appos	Proceedings		True	False	False
.	.	NOUN	NN	appos	paper		False	True	False
"
"	"
"	SPACE	_SP	acl	paper		False	False	False
120	120	NUM	CD	nummod	"
"	CARDINAL	False	False	False
-	-	SYM	SYM	punct	125		False	True	False
125	125	NUM	CD	prep	120		False	False	False
)	)	PUNCT	-RRB-	punct	paper		False	True	False
Mr.	Mr.	PROPN	NNP	compound	Rhoads		False	False	False
S.	S.	PROPN	NNP	compound	Rhoads	PERSON	False	False	False
N.	N.	PROPN	NNP	compound	Rhoads	PERSON	False	False	False
Rhoads	Rhoads	PROPN	NNP	nsubj	refers	PERSON	True	False	False
refers	refer	VERB	VBZ	ROOT	refers		True	False	False
two	two	NUM	CD	nummod	chipmunks	CARDINAL	True	False	True
chipmunks	chipmunk	NOUN	NNS	dobj	refers		True	False	False
from	from	ADP	IN	prep	chipmunks		True	False	True
the	the	DET	DT	det	Province	GPE	True	False	True
Province	Province	PROPN	NNP	pobj	from	GPE	True	False	False
of	of	ADP	IN	prep	Province	GPE	True	False	True
Pechili	Pechili	PROPN	NNP	pobj	of	GPE	True	False	False
,	,	PUNCT	,	punct	Pechili		False	True	False
northeastern	northeastern	ADJ	JJ	amod	China		True	False	False
China	China	PROPN	NNP	appos	Pechili	GPE	True	False	False
,	,	PUNCT	,	punct	Province		False	True	False
to	to	ADP	IN	prep	refers		True	False	True
Eutamias	Eutamias	PROPN	NNP	compound	asiaticics	TAXA	True	False	False
asiaticics	asiaticics	PROPN	NNPS	pobj	to		True	False	False
(	(	PUNCT	-LRB-	punct	asiaticics		False	True	False
Gmelin	Gmelin	PROPN	NNP	appos	asiaticics	TAXA	True	False	False
)	)	PUNCT	-RRB-	punct	asiaticics		False	True	False
.	.	PUNCT	-RRB-	punct	refers		False	True	False
"
"	"
"	SPACE	_SP	punct	have		False	False	False
Through	through	ADP	IN	prep	have		True	False	True
the	the	DET	DT	det	kindness		True	False	True
kindness	kindness	NOUN	NN	pobj	Through		True	False	False
of	of	ADP	IN	prep	kindness		True	False	True
Mr.	Mr.	PROPN	NNP	compound	Stone		False	False	False
Witmer	Witmer	PROPN	NNP	compound	Stone	PERSON	True	False	False
Stone	Stone	PROPN	NNP	pobj	of	PERSON	True	False	False
I	I	PRON	PRP	nsubj	have		True	False	True
now	now	ADV	RB	advmod	have		True	False	True
have	have	VERB	VBP	ROOT	have		True	False	True
the	the	DET	DT	det	specimens		True	False	True
specimens	specimen	NOUN	NNS	dobj	have		True	False	False
before	before	ADP	IN	prep	specimens		True	False	True
me	I	PRON	PRP	pobj	before		True	False	True
.	.	PUNCT	.	punct	have		False	True	False
"
"	"
"	SPACE	_SP	punct	agree		False	False	False
They	they	PRON	PRP	nsubj	agree		True	False	True
agree	agree	VERB	VBP	ROOT	agree		True	False	False
perfectly	perfectly	ADV	RB	advmod	agree		True	False	False
—	—	PUNCT	``	punct	agree		False	True	False
allowance	allowance	NOUN	NN	nsubjpass	made		True	False	False
being	be	AUX	VBG	auxpass	made		True	False	True
made	make	VERB	VBN	punct	agree		True	False	True
for	for	ADP	IN	prep	made		True	False	True
difference	difference	NOUN	NN	pobj	for		True	False	False
in	in	ADP	IN	prep	difference		True	False	True
pelage	pelage	NOUN	NN	pobj	in		True	False	False
—	—	PUNCT	``	punct	made		False	True	False
with	with	ADP	IN	prep	agree		True	False	True
a	a	DET	DT	det	skin		True	False	True
skin	skin	NOUN	NN	pobj	with		True	False	False
in	in	ADP	IN	prep	skin		True	False	True
the	the	DET	DT	det	Museum	ORG	True	False	True
United	United	PROPN	NNP	compound	States	ORG	True	False	False
States	States	PROPN	NNP	compound	Museum	ORG	True	False	False
National	National	PROPN	NNP	compound	Museum	ORG	True	False	False
Museum	Museum	PROPN	NNP	pobj	in	ORG	True	False	False
taken	take	VERB	VBN	acl	skin		True	False	False
near	near	SCONJ	IN	prep	taken		True	False	False
Peking	Peking	PROPN	NNP	pobj	near	GPE	True	False	False
,	,	PUNCT	,	punct	agree		False	True	False
and	and	CCONJ	CC	cc	agree		True	False	True
differ	differ	VERB	VBP	conj	agree		True	False	False
widely	widely	ADV	RB	advmod	differ		True	False	False
from	from	ADP	IN	prep	differ		True	False	True
published	publish	VERB	VBN	amod	descriptions		True	False	False
descriptions	description	NOUN	NNS	pobj	from		True	False	False
of	of	ADP	IN	prep	descriptions		True	False	True
Eutamias	Eutamias	PROPN	NNP	compound	asiaticus	TAXA	True	False	False
asiaticus	asiaticus	PROPN	NNP	pobj	of	TAXA	True	False	False
1	1	NUM	CD	nummod	asiaticus		False	False	False
and	and	CCONJ	CC	cc	from		True	False	True
from	from	ADP	IN	conj	from		True	False	True
a	a	DET	DT	det	skin		True	False	True
skin	skin	NOUN	NN	pobj	from		True	False	False
of	of	ADP	IN	prep	skin		True	False	True
the	the	DET	DT	det	latter		True	False	True
latter	latter	ADJ	JJ	pobj	of		True	False	True
(	(	PUNCT	-LRB-	punct	skin		False	True	False
in	in	ADP	IN	prep	skin		True	False	True
the	the	DET	DT	det	Museum	ORG	True	False	True
National	National	PROPN	NNP	compound	Museum	ORG	True	False	False
Museum	Museum	PROPN	NNP	pobj	in	ORG	True	False	False
)	)	PUNCT	-RRB-	punct	skin		False	True	False
labelled	label	VERB	VBN	acl	skin		True	False	False
'	'	PUNCT	``	punct	TJlba		False	True	False
Fort	Fort	PROPN	NNP	compound	TJlba	LOC	True	False	False
TJlba	TJlba	PROPN	NNP	oprd	labelled	LOC	True	False	False
,	,	PUNCT	,	punct	TJlba	LOC	False	True	False
Siberia	Siberia	PROPN	NNP	appos	TJlba	LOC	True	False	False
.	.	PUNCT	.	punct	agree		False	True	False
'	'	PUNCT	.	punct	agree		False	True	False
"
"	"
"	SPACE	_SP	punct	agree		False	False	False
2	2	X	LS	punct	agree		False	False	False
Considering	consider	VERB	VBG	prep	is		True	False	False
the	the	DET	DT	det	isolation		True	False	True
isolation	isolation	NOUN	NN	pobj	Considering		True	False	False
of	of	ADP	IN	prep	isolation		True	False	True
the	the	DET	DT	det	region		True	False	True
region	region	NOUN	NN	pobj	of		True	False	False
inhabited	inhabit	VERB	VBN	acl	region		True	False	False
by	by	ADP	IN	agent	inhabited		True	False	True
the	the	DET	DT	det	Chipmunk		True	False	True
Pechili	Pechili	PROPN	NNP	compound	Chipmunk		True	False	False
Chipmunk	Chipmunk	PROPN	NNP	pobj	by		True	False	False
,	,	PUNCT	,	punct	isolation		False	True	False
and	and	CCONJ	CC	cc	isolation		True	False	True
the	the	DET	DT	det	plasticity		True	False	True
extreme	extreme	ADJ	JJ	amod	plasticity		True	False	False
plasticity	plasticity	NOUN	NN	conj	isolation		True	False	False
of	of	ADP	IN	prep	plasticity		True	False	True
the	the	DET	DT	det	Eutamias		True	False	True
genus	genus	NOUN	NN	compound	Eutamias		True	False	False
Eutamias	Eutamias	PROPN	NNP	pobj	of	TAXA	True	False	False
,	,	PUNCT	,	punct	is		False	True	False
it	it	PRON	PRP	nsubj	is		True	False	True
is	be	AUX	VBZ	ROOT	is		True	False	True
not	not	PART	RB	neg	surprising		True	False	True
surprising	surprising	ADJ	JJ	acomp	is		True	False	False
that	that	SCONJ	IN	mark	prove		True	False	True
the	the	DET	DT	det	animal		True	False	True
animal	animal	NOUN	NN	nsubj	prove		True	False	False
should	should	AUX	MD	aux	prove		True	False	True
prove	prove	VERB	VB	ccomp	is		True	False	False
to	to	PART	TO	aux	be		True	False	True
be	be	VERB	VB	xcomp	prove		True	False	True
distinct	distinct	ADJ	JJ	acomp	be		True	False	False
from	from	ADP	IN	prep	distinct		True	False	True
its	its	PRON	PRP$	poss	congener		True	False	True
Siberian	siberian	ADJ	JJ	amod	congener	NORP	True	False	False
congener	congener	NOUN	NN	pobj	from		True	False	False
.	.	PUNCT	.	punct	is		False	True	False
"
"	"
"	SPACE	_SP	punct	arises		False	False	False
The	the	DET	DT	det	question		True	False	True
question	question	NOUN	NN	nsubj	arises		True	False	False
immediately	immediately	ADV	RB	advmod	arises		True	False	False
arises	arise	VERB	VBZ	ROOT	arises		True	False	False
,	,	PUNCT	,	punct	arises		False	True	False
however	however	ADV	RB	advmod	arises		True	False	True
,	,	PUNCT	,	punct	arises		False	True	False
as	as	ADP	IN	prep	impossible		True	False	True
to	to	ADP	IN	prep	as		True	False	True
what	what	PRON	WP	attr	is		True	False	True
true	true	ADJ	JJ	amod	asiaticus		True	False	False
Eutamias	Eutamias	PROPN	NNP	compound	asiaticus	TAXA	True	False	False
asiaticus	asiaticus	NOUN	NN	nsubj	is	TAXA	True	False	False
really	really	ADV	RB	advmod	is		True	False	True
is	be	VERB	VBZ	pcomp	to		True	False	True
,	,	PUNCT	,	punct	arises		False	True	False
and	and	CCONJ	CC	cc	arises		True	False	True
at	at	ADP	IN	prep	is		True	False	True
present	present	NOUN	NN	pobj	at		True	False	False
it	it	PRON	PRP	nsubj	is		True	False	True
is	be	VERB	VBZ	conj	arises		True	False	True
impossible	impossible	ADJ	JJ	acomp	is		True	False	False
to	to	PART	TO	aux	give		True	False	True
give	give	VERB	VB	xcomp	is		True	False	True
a	a	DET	DT	det	answer		True	False	True
wholly	wholly	ADV	RB	advmod	satisfactory		True	False	False
satisfactory	satisfactory	ADJ	JJ	amod	answer		True	False	False
answer	answer	NOUN	NN	dobj	give		True	False	False
.	.	PUNCT	.	punct	is		False	True	False
"
"	"
"	SPACE	_SP	punct	based		False	False	False
Gmelin	Gmelin	PROPN	NNP	nsubj	based	TAXA	True	False	False
based	base	VERB	VBD	ROOT	based		True	False	False
his	his	PRON	PRP$	poss	striatus		True	False	True
Sciurus	Sciurus	PROPN	NNP	compound	striatus	TAXA	True	False	False
striatus	striatus	NOUN	NN	dobj	based	TAXA	True	False	False
a	a	DET	DT	det	asiaticus		True	False	True
asiaticus	asiaticus	NOUN	NN	appos	striatus		True	False	False
primarily	primarily	ADV	RB	advmod	on		True	False	False
on	on	ADP	IN	prep	based		True	False	True
the	the	DET	DT	det	striatus		True	False	True
Sciurus	Sciurus	PROPN	NNP	compound	striatus	TAXA	True	False	False
striatus	striatus	NOUN	NN	pobj	on	TAXA	True	False	False
of	of	ADP	IN	prep	striatus		True	False	True
Pallas	Pallas	PROPN	NNP	pobj	of		True	False	False
,	,	PUNCT	,	punct	based		False	True	False
3	3	NUM	CD	punct	based	CARDINAL	False	False	False
a	a	DET	DT	det	composite		True	False	True
composite	composite	NOUN	NN	appos	3		True	False	False
of	of	ADP	IN	prep	composite		True	False	True
the	the	DET	DT	det	species		True	False	True
Asiatic	asiatic	ADJ	JJ	amod	species		True	False	False
and	and	CCONJ	CC	cc	Asiatic		True	False	True
American	american	ADJ	JJ	conj	Asiatic	NORP	True	False	False
species	specie	NOUN	NNS	pobj	of		True	False	False
,	,	PUNCT	,	punct	composite		False	True	False
but	but	CCONJ	CC	cc	composite		True	False	True
composed	compose	VERB	VBN	conj	composite		True	False	False
chiefly	chiefly	ADV	RB	advmod	composed		True	False	False
of	of	ADP	IN	prep	composed		True	False	True
the	the	DET	DT	det	former		True	False	True
former	former	ADJ	JJ	pobj	of		True	False	True
.	.	PUNCT	.	punct	based		False	True	False
"
"	"
"	SPACE	_SP	punct	extends		False	False	False
The	the	DET	DT	det	range		True	False	True
range	range	NOUN	NN	nsubj	extends		True	False	False
of	of	ADP	IN	prep	range		True	False	True
the	the	DET	DT	det	animal		True	False	True
Asiatic	asiatic	ADJ	JJ	amod	animal	NORP	True	False	False
animal	animal	NOUN	NN	pobj	of		True	False	False
extends	extend	VERB	VBZ	ROOT	extends		True	False	False
,	,	PUNCT	,	punct	extends		False	True	False
according	accord	VERB	VBG	prep	extends		True	False	False
to	to	ADP	IN	prep	according		True	False	True
Pallas	Pallas	PROPN	NNP	pobj	to	PRODUCT	True	False	False
,	,	PUNCT	,	punct	extends		False	True	False
from	from	ADP	IN	prep	extends		True	False	True
the	the	DET	DT	det	River	LOC	True	False	True
Dwina	Dwina	PROPN	NNP	compound	River	LOC	True	False	False
River	River	PROPN	NNP	pobj	from	LOC	True	False	False
in	in	ADP	IN	prep	River		True	False	True
Russia	Russia	PROPN	NNP	pobj	in	GPE	True	False	False
,	,	PUNCT	,	punct	extends		False	True	False
east	east	ADV	RB	advmod	extends		True	False	False
through	through	ADP	IN	prep	east		True	False	True
the	the	DET	DT	det	whole		True	False	True
whole	whole	NOUN	NN	pobj	through		True	False	True
of	of	ADP	IN	prep	whole		True	False	True
Siberia	Siberia	PROPN	NNP	pobj	of	LOC	True	False	False
.	.	PUNCT	.	punct	extends		False	True	False
"
"	"
"	SPACE	_SP	punct	is		False	False	False
That	that	SCONJ	IN	mark	occurs		True	False	True
only	only	ADV	RB	advmod	one	CARDINAL	True	False	True
one	one	NUM	CD	nummod	species	CARDINAL	True	False	True
species	species	NOUN	NN	nsubj	occurs		True	False	False
of	of	ADP	IN	prep	species		True	False	True
Eutamias	Eutamias	PROPN	NNP	pobj	of	TAXA	True	False	False
occurs	occur	VERB	VBZ	csubj	is		True	False	False
in	in	ADP	IN	prep	occurs		True	False	True
this	this	DET	DT	det	area		True	False	True
vast	vast	ADJ	JJ	amod	area		True	False	False
area	area	NOUN	NN	pobj	in		True	False	False
is	be	AUX	VBZ	ROOT	is		True	False	True
almost	almost	ADV	RB	advmod	beyond		True	False	True
beyond	beyond	ADP	IN	prep	is		True	False	True
the	the	DET	DT	det	possibility		True	False	True
possibility	possibility	NOUN	NN	pobj	beyond		True	False	False
of	of	ADP	IN	prep	possibility		True	False	True
belief	belief	NOUN	NN	pobj	of		True	False	False
.	.	PUNCT	.	punct	is		False	True	False
"
"	"
"	SPACE	_SP	nsubj	be		False	False	False
But	but	CCONJ	CC	cc	be		True	False	True
however	however	ADV	WRB	advmod	many		True	False	True
many	many	ADJ	JJ	amod	forms		True	False	True
forms	form	NOUN	NNS	nsubj	be		True	False	False
there	there	PRON	EX	expl	be		True	False	True
may	may	AUX	MD	aux	be		True	False	True
be	be	VERB	VB	ROOT	be		True	False	True
,	,	PUNCT	,	punct	be		False	True	False
and	and	CCONJ	CC	cc	be		True	False	True
whatever	whatever	DET	WDT	det	one		True	False	True
one	one	NUM	CD	nsubj	was		True	False	True
Pallas	Pallas	PROPN	NNP	nsubj	had	PERSON	True	False	False
may	may	AUX	MD	aux	had		True	False	True
have	have	AUX	VB	aux	had		True	False	True
had	have	VERB	VBN	relcl	one		True	False	True
in	in	ADP	IN	prep	had		True	False	True
hand	hand	NOUN	NN	pobj	in		True	False	False
when	when	ADV	WRB	advmod	wrote		True	False	True
he	he	PRON	PRP	nsubj	wrote		True	False	True
wrote	write	VERB	VBD	advcl	had		True	False	False
his	his	PRON	PRP$	poss	description		True	False	True
description	description	NOUN	NN	dobj	wrote		True	False	False
,	,	PUNCT	,	punct	was		False	True	False
the	the	DET	DT	det	animal		True	False	True
animal	animal	NOUN	NN	nsubj	was		True	False	False
that	that	DET	WDT	dobj	described		True	False	True
he	he	PRON	PRP	nsubj	described		True	False	True
described	describe	VERB	VBD	relcl	animal		True	False	False
was	be	VERB	VBD	conj	be		True	False	True
approximately	approximately	ADV	RB	advmod	like		True	False	False
like	like	ADP	IN	prep	was		True	False	False
the	the	DET	DT	det	specimen		True	False	True
'	'	PUNCT	``	punct	specimen		False	True	False
Ulba	Ulba	PROPN	NNP	nmod	specimen	PERSON	True	False	False
'	'	PUNCT	''	punct	specimen		False	True	False
specimen	specimen	NOUN	NN	pobj	like		True	False	False
,	,	PUNCT	,	punct	like		False	True	False
and	and	CCONJ	CC	cc	like		True	False	True
consequently	consequently	ADV	RB	advmod	unlike		True	False	False
very	very	ADV	RB	advmod	unlike		True	False	True
unlike	unlike	ADJ	JJ	conj	like		True	False	False
the	the	DET	DT	det	form		True	False	True
Chinese	chinese	ADJ	JJ	amod	form	NORP	True	False	False
form	form	NOUN	NN	pobj	unlike		True	False	False
.	.	PUNCT	.	punct	was		False	True	False
"
"	"
"	SPACE	_SP	punct	is		False	False	False
Roughly	roughly	ADV	RB	advmod	speaking		True	False	False
speaking	speak	VERB	VBG	advcl	is		True	False	False
,	,	PUNCT	,	punct	is		False	True	False
the	the	DET	DT	det	animal		True	False	True
Chinese	chinese	ADJ	JJ	amod	animal	NORP	True	False	False
animal	animal	NOUN	NN	nsubj	is		True	False	False
is	be	AUX	VBZ	ROOT	is		True	False	True
a	a	DET	DT	det	form		True	False	True
pale	pale	ADJ	JJ	amod	form		True	False	False
,	,	PUNCT	,	punct	form		False	True	False
grayish	grayish	ADJ	JJ	amod	form		True	False	False
,	,	PUNCT	,	punct	form		False	True	False
brown	brown	ADJ	JJ	amod	striped		True	False	False
-	-	PUNCT	HYPH	punct	striped		False	True	False
striped	striped	ADJ	JJ	amod	form		True	False	False
form	form	NOUN	NN	attr	is		True	False	False
much	much	ADV	RB	advmod	like		True	False	True
like	like	ADP	IN	prep	form		True	False	False
