Token	Lemma	POS	Tag	Dependency	Head	Ent Type	IsAlpha	IsPunct	IsStop
A	a	DET	DT	det	COMPARISON		True	False	True
COMPARISON	comparison	NOUN	NN	ROOT	COMPARISON		True	False	False
OF	of	ADP	IN	prep	COMPARISON		True	False	True
THE	the	DET	DT	det	MOLLUSCA		True	False	True
EOCENE	EOCENE	PROPN	NNP	compound	MOLLUSCA		True	False	False
MOLLUSCA	MOLLUSCA	PROPN	NNP	pobj	OF		True	False	False
OF	of	ADP	IN	prep	MOLLUSCA		True	False	True
THE	the	DET	DT	det	SOUTHEASTERN		True	False	True
SOUTHEASTERN	SOUTHEASTERN	PROPN	NNP	pobj	OF		True	False	False
"
"	"
"	SPACE	_SP	ROOT	"
"		False	False	False
