Token	Lemma	POS	Tag	Dependency	Head	Ent Type	IsAlpha	IsPunct	IsStop
Frances	Frances	PROPN	NNP	compound	Clark	PERSON	True	False	False
Naomi	Naomi	PROPN	NNP	compound	Clark	PERSON	True	False	False
Clark	Clark	PROPN	NNP	nsubj	was	PERSON	True	False	False
was	be	AUX	VBD	ROOT	was		True	False	True
an	an	DET	DT	det	ichthyologist		True	False	True
American	american	ADJ	JJ	amod	ichthyologist	NORP	True	False	False
ichthyologist	ichthyologist	NOUN	NN	attr	was		True	False	False
born	bear	VERB	VBN	acl	ichthyologist		True	False	False
in	in	ADP	IN	prep	born		True	False	True
1894	1894	NUM	CD	pobj	in	DATE	False	False	False
,	,	PUNCT	,	punct	was		False	True	False
and	and	CCONJ	CC	cc	was		True	False	True
was	be	VERB	VBD	conj	was		True	False	True
one	one	NUM	CD	attr	was	CARDINAL	True	False	True
of	of	ADP	IN	prep	one		True	False	True
the	the	DET	DT	det	researchers		True	False	True
first	first	ADJ	JJ	amod	researchers	ORDINAL	True	False	True
woman	woman	NOUN	NN	compound	researchers		True	False	False
fishery	fishery	NOUN	NN	compound	researchers		True	False	False
researchers	researcher	NOUN	NNS	pobj	of		True	False	False
to	to	PART	TO	aux	receive		True	False	True
receive	receive	VERB	VB	relcl	researchers		True	False	False
world	world	NOUN	NN	npadvmod	wide		True	False	False
-	-	PUNCT	HYPH	punct	wide		False	True	False
wide	wide	ADJ	JJ	amod	recognition		True	False	False
recognition	recognition	NOUN	NN	dobj	receive		True	False	False
.	.	PUNCT	.	punct	was		False	True	False
Frances	Frances	PROPN	NNP	compound	Clark	PERSON	True	False	False
Naomi	Naomi	PROPN	NNP	compound	Clark	PERSON	True	False	False
Clark	Clark	PROPN	NNP	nsubj	was	PERSON	True	False	False
was	be	AUX	VBD	ROOT	was		True	False	True
an	an	DET	DT	det	ichthyologist		True	False	True
American	american	ADJ	JJ	amod	ichthyologist	NORP	True	False	False
ichthyologist	ichthyologist	NOUN	NN	attr	was		True	False	False
born	bear	VERB	VBN	acl	ichthyologist		True	False	False
in	in	ADP	IN	prep	born		True	False	True
1894	1894	NUM	CD	pobj	in	DATE	False	False	False
,	,	PUNCT	,	punct	was		False	True	False
and	and	CCONJ	CC	cc	was		True	False	True
was	be	VERB	VBD	conj	was		True	False	True
one	one	NUM	CD	attr	was	CARDINAL	True	False	True
of	of	ADP	IN	prep	one		True	False	True
the	the	DET	DT	det	researchers		True	False	True
first	first	ADJ	JJ	amod	researchers	ORDINAL	True	False	True
woman	woman	NOUN	NN	compound	researchers		True	False	False
fishery	fishery	NOUN	NN	compound	researchers		True	False	False
researchers	researcher	NOUN	NNS	pobj	of		True	False	False
to	to	PART	TO	aux	receive		True	False	True
receive	receive	VERB	VB	relcl	researchers		True	False	False
world	world	NOUN	NN	npadvmod	wide		True	False	False
-	-	PUNCT	HYPH	punct	wide		False	True	False
wide	wide	ADJ	JJ	amod	recognition		True	False	False
recognition	recognition	NOUN	NN	dobj	receive		True	False	False
.	.	PUNCT	.	punct	was		False	True	False
Seven	seven	NUM	CD	nummod	specimens	CARDINAL	True	False	False
Ampelis	Ampelis	PROPN	NNP	compound	cedrorum	TAXA	True	False	False
cedrorum	cedrorum	NOUN	NN	compound	specimens	TAXA	True	False	False
specimens	specimen	NOUN	NNS	nsubjpass	collected		True	False	False
were	be	AUX	VBD	auxpass	collected		True	False	True
collected	collect	VERB	VBN	ROOT	collected		True	False	False
in	in	ADP	IN	prep	collected		True	False	True
a	a	DET	DT	det	meadow		True	False	True
meadow	meadow	NOUN	NN	pobj	in		True	False	False
near	near	SCONJ	IN	prep	meadow		True	False	False
lowland	lowland	ADJ	JJ	amod	trees	HABITAT	True	False	False
fruit	fruit	NOUN	NN	compound	trees	HABITAT	True	False	False
trees	tree	NOUN	NNS	pobj	near	HABITAT	True	False	False
.	.	PUNCT	.	punct	collected		False	True	False
Some	some	DET	DT	det	habitats		True	False	True
habitats	habitat	NOUN	NNS	nsubj	are		True	False	False
we	we	PRON	PRP	nsubj	know		True	False	True
know	know	VERB	VBP	relcl	habitats		True	False	False
are	be	AUX	VBP	ccomp	know		True	False	True
in	in	ADP	IN	prep	are		True	False	True
the	the	DET	DT	det	file		True	False	True
json	json	NOUN	NN	compound	file		True	False	False
file	file	NOUN	NN	pobj	in		True	False	False
are	be	AUX	VBP	ROOT	are		True	False	True
near	near	SCONJ	IN	prep	are	HABITAT	True	False	False
large	large	ADJ	JJ	amod	rocks	HABITAT	True	False	False
