Token	Lemma	POS	Tag	Dependency	Head	Ent Type	IsAlpha	IsPunct	IsStop
A	a	DET	DT	det	CATALOGUE		True	False	True
CATALOGUE	catalogue	NOUN	NN	ROOT	CATALOGUE		True	False	False
OF	of	ADP	IN	prep	CATALOGUE		True	False	True
THE	the	DET	DT	det	FISHES		True	False	True
FISHES	fish	NOUN	NNS	pobj	OF		True	False	False
OF	of	ADP	IN	prep	FISHES		True	False	True
GREECE	GREECE	PROPN	NNP	pobj	OF	GPE	True	False	False
,	,	PUNCT	,	punct	CATALOGUE		False	True	False
WITH	with	ADP	IN	prep	CATALOGUE		True	False	True
NOTES	note	NOUN	NNS	pobj	WITH		True	False	False
ON	on	ADP	IN	prep	NOTES		True	False	True
THE	the	DET	DT	det	NAMES		True	False	True
NAMES	name	NOUN	NNS	pobj	ON		True	False	False
NOW	now	ADV	RB	advmod	IN		True	False	True
IN	in	ADP	IN	relcl	NAMES		True	False	True
USE	use	NOUN	NN	pobj	IN		True	False	False
AND	and	CCONJ	CC	cc	NAMES		True	False	True
THOSE	those	DET	DT	conj	NAMES		True	False	True
EMPLOYED	employ	VERB	VBN	acl	THOSE		True	False	False
BY	by	ADP	IN	agent	EMPLOYED		True	False	True
CLASSICAL	classical	ADJ	JJ	amod	AUTHORS		True	False	False
AUTHORS	author	NOUN	NNS	pobj	BY		True	False	False
.	.	PUNCT	.	punct	CATALOGUE		False	True	False
"
"	"
"	SPACE	_SP	ROOT	"
"		False	False	False
BY	by	ADP	IN	ROOT	BY		True	False	True
HORACE	HORACE	PROPN	NNP	compound	HOFFMAN	PERSON	True	False	False
ADDISON	ADDISON	PROPN	NNP	compound	HOFFMAN	PERSON	True	False	False
HOFFMAN	HOFFMAN	PROPN	NNP	pobj	BY	PERSON	True	False	False
AND	and	CCONJ	CC	cc	HOFFMAN		True	False	True
DAVID	DAVID	PROPN	NNP	compound	JORDAN	PERSON	True	False	False
STARR	STARR	PROPN	NNP	compound	JORDAN	PERSON	True	False	False
JORDAN	JORDAN	PROPN	NNP	conj	HOFFMAN	PERSON	True	False	False
.	.	PUNCT	.	punct	BY		False	True	False
"

"	"

"	SPACE	_SP	punct	spent		False	False	False
The	the	DET	DT	det	author		True	False	True
first	first	ADV	RB	advmod	named	ORDINAL	True	False	True
-	-	PUNCT	HYPH	punct	named		False	True	False
named	name	VERB	VBN	amod	author		True	False	False
author	author	NOUN	NN	nsubj	spent		True	False	False
of	of	ADP	IN	prep	author		True	False	True
the	the	DET	DT	det	paper		True	False	True
present	present	ADJ	JJ	amod	paper		True	False	False
paper	paper	NOUN	NN	pobj	of		True	False	False
spent	spend	VERB	VBD	ROOT	spent		True	False	False
a	a	DET	DT	det	part		True	False	True
large	large	ADJ	JJ	amod	part		True	False	False
part	part	NOUN	NN	dobj	spent		True	False	True
of	of	ADP	IN	prep	part		True	False	True
the	the	DET	DT	det	spring	DATE	True	False	True
spring	spring	NOUN	NN	pobj	of	DATE	True	False	False
and	and	CCONJ	CC	cc	spring	DATE	True	False	True
summer	summer	NOUN	NN	conj	spring	DATE	True	False	False
of	of	ADP	IN	prep	spring		True	False	True
1890	1890	NUM	CD	pobj	of	DATE	False	False	False
in	in	ADP	IN	prep	spent		True	False	True
Greece	Greece	PROPN	NNP	pobj	in	GPE	True	False	False
.	.	PUNCT	.	punct	spent		False	True	False
"
"	"
"	SPACE	_SP	punct	devoted		False	False	False
Part	part	NOUN	NN	nsubjpass	devoted		True	False	True
of	of	ADP	IN	prep	Part		True	False	True
this	this	DET	DT	det	time		True	False	True
time	time	NOUN	NN	pobj	of		True	False	False
was	be	AUX	VBD	auxpass	devoted		True	False	True
devoted	devote	VERB	VBN	ROOT	devoted		True	False	False
to	to	ADP	IN	prep	devoted		True	False	True
making	make	VERB	VBG	pcomp	to		True	False	False
collections	collection	NOUN	NNS	dobj	making		True	False	False
of	of	ADP	IN	prep	collections		True	False	True
the	the	DET	DT	det	fishes		True	False	True
fishes	fish	NOUN	NNS	pobj	of		True	False	False
found	find	VERB	VBN	acl	fishes		True	False	False
in	in	ADP	IN	prep	found		True	False	True
the	the	DET	DT	det	markets		True	False	True
markets	market	NOUN	NNS	pobj	in		True	False	False
of	of	ADP	IN	prep	markets		True	False	True
Athens	Athens	PROPN	NNP	pobj	of	GPE	True	False	False
and	and	CCONJ	CC	cc	to		True	False	True
to	to	ADP	IN	conj	to		True	False	True
the	the	DET	DT	det	study		True	False	True
study	study	NOUN	NN	pobj	to		True	False	False
of	of	ADP	IN	prep	study		True	False	True
the	the	DET	DT	det	names		True	False	True
vernacular	vernacular	ADJ	JJ	amod	names		True	False	False
names	name	NOUN	NNS	pobj	of		True	False	False
now	now	ADV	RB	advmod	applied		True	False	True
applied	apply	VERB	VBN	acl	names		True	False	False
by	by	ADP	IN	agent	applied		True	False	True
the	the	DET	DT	det	fishermen		True	False	True
Greek	greek	ADJ	JJ	amod	fishermen	NORP	True	False	False
fishermen	fisherman	NOUN	NNS	pobj	by		True	False	False
to	to	ADP	IN	prep	applied		True	False	True
these	these	DET	DT	det	fishes		True	False	True
fishes	fish	NOUN	NNS	pobj	to		True	False	False
.	.	PUNCT	.	punct	devoted		False	True	False
"
"	"
"	SPACE	_SP	punct	known		False	False	False
Each	each	DET	DT	det	fish		True	False	True
fish	fish	NOUN	NN	nsubjpass	preserved		True	False	False
as	as	ADP	IN	mark	obtained		True	False	True
obtained	obtain	VERB	VBN	advcl	fish		True	False	False
was	be	AUX	VBD	auxpass	preserved		True	False	True
preserved	preserve	VERB	VBN	nsubjpass	known		True	False	False
in	in	ADP	IN	prep	preserved		True	False	True
alcohol	alcohol	NOUN	NN	pobj	in		True	False	False
,	,	PUNCT	,	punct	preserved		False	True	False
a	a	DET	DT	det	number		True	False	True
number	number	NOUN	NN	conj	preserved		True	False	False
attached	attach	VERB	VBN	acl	number		True	False	False
to	to	ADP	IN	prep	attached		True	False	True
it	it	PRON	PRP	pobj	to		True	False	True
,	,	PUNCT	,	punct	number		False	True	False
and	and	CCONJ	CC	cc	number		True	False	True
a	a	DET	DT	det	record		True	False	True
record	record	NOUN	NN	conj	number		True	False	False
kept	keep	VERB	VBN	acl	record		True	False	False
of	of	ADP	IN	prep	record		True	False	True
the	the	DET	DT	det	name		True	False	True
vernacular	vernacular	ADJ	JJ	amod	name		True	False	False
name	name	NOUN	NN	pobj	of		True	False	True
attached	attach	VERB	VBN	acl	name		True	False	False
to	to	ADP	IN	prep	attached		True	False	True
this	this	DET	DT	det	number		True	False	True
number	number	NOUN	NN	pobj	to		True	False	False
.	.	PUNCT	.	punct	record		False	True	False
"
"	"
"	SPACE	_SP	punct	preserved		False	False	False
The	the	DET	DT	det	persistence		True	False	True
persistence	persistence	NOUN	NN	nsubjpass	known		True	False	False
of	of	ADP	IN	prep	persistence		True	False	True
vernacular	vernacular	ADJ	JJ	amod	names		True	False	False
names	name	NOUN	NNS	pobj	of		True	False	False
of	of	ADP	IN	prep	names		True	False	True
fishes	fish	NOUN	NNS	pobj	of		True	False	False
and	and	CCONJ	CC	cc	fishes		True	False	True
other	other	ADJ	JJ	amod	animals		True	False	True
animals	animal	NOUN	NNS	conj	fishes		True	False	False
is	be	AUX	VBZ	auxpass	known		True	False	True
known	know	VERB	VBN	ROOT	known		True	False	False
to	to	PART	TO	aux	be		True	False	True
be	be	VERB	VB	xcomp	known		True	False	True
very	very	ADV	RB	advmod	great		True	False	True
great	great	ADJ	JJ	acomp	be		True	False	False
,	,	PUNCT	,	punct	known		False	True	False
and	and	CCONJ	CC	cc	known		True	False	True
it	it	PRON	PRP	nsubjpass	assumed		True	False	True
may	may	AUX	MD	aux	assumed		True	False	True
be	be	AUX	VB	auxpass	assumed		True	False	True
safely	safely	ADV	RB	advmod	assumed		True	False	False
assumed	assume	VERB	VBN	conj	known		True	False	False
that	that	SCONJ	IN	mark	derived		True	False	True
the	the	DET	DT	det	most		True	False	True
most	most	ADJ	JJS	nsubjpass	derived		True	False	True
of	of	ADP	IN	prep	most		True	False	True
these	these	DET	DT	det	names		True	False	True
names	name	NOUN	NNS	pobj	of		True	False	False
now	now	ADV	RB	advmod	heard		True	False	True
heard	hear	VERB	VBN	acl	names		True	False	False
in	in	ADP	IN	prep	heard		True	False	True
Athens	Athens	PROPN	NNP	pobj	in	GPE	True	False	False
are	be	AUX	VBP	auxpass	derived		True	False	True
derived	derive	VERB	VBN	ccomp	assumed		True	False	False
from	from	ADP	IN	prep	derived		True	False	True
those	those	DET	DT	pobj	from		True	False	True
applied	apply	VERB	VBN	acl	those		True	False	False
to	to	ADP	IN	prep	applied		True	False	True
the	the	DET	DT	det	species		True	False	True
same	same	ADJ	JJ	amod	species		True	False	True
species	specie	NOUN	NNS	pobj	to		True	False	False
in	in	ADP	IN	prep	applied		True	False	True
the	the	DET	DT	det	time		True	False	True
time	time	NOUN	NN	pobj	in		True	False	False
of	of	ADP	IN	prep	time		True	False	True
Aristotle	Aristotle	PROPN	NNP	pobj	of	PERSON	True	False	False
.	.	PUNCT	.	punct	assumed		False	True	False
"
"	"
"	SPACE	_SP	punct	thought		False	False	False
It	it	PRON	PRP	nsubjpass	thought		True	False	True
has	have	AUX	VBZ	aux	thought		True	False	True
been	be	AUX	VBN	auxpass	thought		True	False	True
thought	think	VERB	VBN	ROOT	thought		True	False	False
that	that	SCONJ	IN	mark	tend		True	False	True
a	a	DET	DT	det	study		True	False	True
study	study	NOUN	NN	nsubj	tend		True	False	False
of	of	ADP	IN	prep	study		True	False	True
these	these	DET	DT	det	names		True	False	True
names	name	NOUN	NNS	pobj	of		True	False	False
would	would	AUX	MD	aux	tend		True	False	True
tend	tend	VERB	VB	ccomp	thought		True	False	False
to	to	PART	TO	aux	throw		True	False	True
throw	throw	VERB	VB	xcomp	tend		True	False	False
light	light	NOUN	NN	dobj	throw		True	False	False
on	on	ADP	IN	prep	throw		True	False	True
those	those	DET	DT	pobj	on		True	False	True
applied	apply	VERB	VBN	acl	those		True	False	False
to	to	ADP	IN	prep	applied		True	False	True
fishes	fish	NOUN	NNS	pobj	to		True	False	False
by	by	ADP	IN	agent	applied		True	False	True
classical	classical	ADJ	JJ	amod	authors		True	False	False
authors	author	NOUN	NNS	pobj	by		True	False	False
.	.	PUNCT	.	punct	thought		False	True	False
"
"	"
"	SPACE	_SP	punct	is		False	False	False
The	the	DET	DT	det	fact		True	False	True
fact	fact	NOUN	NN	nsubj	is		True	False	False
that	that	SCONJ	IN	mark	made		True	False	True
no	no	DET	DT	det	collection		True	False	True
such	such	ADJ	JJ	amod	collection		True	False	True
collection	collection	NOUN	NN	nsubjpass	made		True	False	False
or	or	CCONJ	CC	cc	collection		True	False	True
comparison	comparison	NOUN	NN	conj	collection		True	False	False
of	of	ADP	IN	prep	collection		True	False	True
names	name	NOUN	NNS	pobj	of		True	False	False
of	of	ADP	IN	prep	names		True	False	True
fishes	fish	NOUN	NNS	pobj	of		True	False	False
has	have	AUX	VBZ	aux	made		True	False	True
yet	yet	ADV	RB	advmod	made		True	False	True
been	be	AUX	VBN	auxpass	made		True	False	True
made	make	VERB	VBN	acl	fact		True	False	True
is	be	AUX	VBZ	ROOT	is		True	False	True
the	the	DET	DT	det	justification		True	False	True
justification	justification	NOUN	NN	attr	is		True	False	False
of	of	ADP	IN	prep	justification		True	False	True
this	this	DET	DT	det	paper		True	False	True
paper	paper	NOUN	NN	pobj	of		True	False	False
.	.	PUNCT	.	punct	is		False	True	False
"
"	"
"	SPACE	_SP	punct	is		False	False	False
A	a	DET	DT	det	catalogue		True	False	True
single	single	ADJ	JJ	amod	catalogue		True	False	False
catalogue	catalogue	NOUN	NN	nsubjpass	known		True	False	False
of	of	ADP	IN	prep	catalogue		True	False	True
the	the	DET	DT	det	fishes		True	False	True
fishes	fish	NOUN	NNS	pobj	of		True	False	False
of	of	ADP	IN	prep	fishes		True	False	True
Greece	Greece	PROPN	NNP	pobj	of	GPE	True	False	False
is	be	AUX	VBZ	auxpass	known		True	False	True
known	know	VERB	VBN	punct	is		True	False	False
to	to	ADP	IN	prep	known		True	False	True
me	I	PRON	PRP	pobj	to		True	False	True
,	,	PUNCT	,	punct	known		False	True	False
that	that	DET	DT	appos	known		True	False	True
published	publish	VERB	VBN	acl	that		True	False	False
by	by	ADP	IN	agent	published		True	False	True
my	my	PRON	PRP$	poss	friend		True	False	True
friend	friend	NOUN	NN	pobj	by		True	False	False
,	,	PUNCT	,	punct	friend		False	True	False
Professor	Professor	PROPN	NNP	compound	Apostolides		True	False	False
Apostolides	Apostolides	PROPN	NNP	appos	friend	PERSON	True	False	False
in	in	ADP	IN	prep	published		True	False	True
1883	1883	NUM	CD	pobj	in	DATE	False	False	False
(	(	PUNCT	-LRB-	punct	known		False	True	False
La	La	PROPN	NNP	nmod	Grece	WORK_OF_ART	True	False	False
Peche	Peche	PROPN	NNP	nmod	Grece	WORK_OF_ART	True	False	False
en	en	X	FW	nmod	Grece	WORK_OF_ART	True	False	False
Grece	Grece	PROPN	NNP	appos	catalogue	WORK_OF_ART	True	False	False
