Token	Lemma	POS	Tag	Dependency	Head	Ent Type	IsAlpha	IsPunct	IsStop
THE	the	DET	DT	det	BATRACHIA		True	False	True
BATRACHIA	BATRACHIA	PROPN	NNP	ROOT	BATRACHIA		True	False	False
AND	and	CCONJ	CC	cc	BATRACHIA		True	False	True
REPTILIA	REPTILIA	PROPN	NNP	conj	BATRACHIA		True	False	False
OF	of	ADP	IN	prep	BATRACHIA		True	False	True
NORTH	NORTH	PROPN	NNP	compound	TEXAS	LOC	True	False	False
WESTERN	WESTERN	PROPN	NNP	compound	TEXAS	LOC	True	False	False
TEXAS	TEXAS	PROPN	NNP	pobj	OF	LOC	True	False	False
.	.	PUNCT	.	punct	BATRACHIA		False	True	False
"
"	"
"	SPACE	_SP	ROOT	"
"		False	False	False
BY	by	ADP	IN	prep	"
"		True	False	True
E.	E.	PROPN	NNP	compound	COPE	PERSON	False	False	False
D.	D.	PROPN	NNP	compound	COPE	PERSON	False	False	False
COPE	COPE	PROPN	NNP	pobj	BY	PERSON	True	False	False
.	.	PUNCT	.	punct	BY		False	True	False
"
"	"
"	SPACE	_SP	punct	based		False	False	False
The	the	DET	DT	det	paper		True	False	True
present	present	ADJ	JJ	amod	paper		True	False	False
paper	paper	NOUN	NN	nsubjpass	based		True	False	False
is	be	AUX	VBZ	auxpass	based		True	False	True
based	base	VERB	VBN	ROOT	based		True	False	False
on	on	ADP	IN	prep	based		True	False	True
collections	collection	NOUN	NNS	pobj	on		True	False	False
made	make	VERB	VBN	acl	collections		True	False	True
along	along	ADP	IN	prep	made		True	False	True
the	the	DET	DT	det	border		True	False	True
eastern	eastern	ADJ	JJ	amod	border		True	False	False
border	border	NOUN	NN	pobj	along		True	False	False
of	of	ADP	IN	prep	border		True	False	True
the	the	DET	DT	det	Plain	LOC	True	False	True
Staked	Staked	PROPN	NNP	compound	Plain	LOC	True	False	False
Plain	Plain	PROPN	NNP	pobj	of	LOC	True	False	False
of	of	ADP	IN	prep	Plain		True	False	True
Texas	Texas	PROPN	NNP	pobj	of	GPE	True	False	False
,	,	PUNCT	,	punct	border		False	True	False
between	between	ADP	IN	prep	border		True	False	True
Big	Big	PROPN	NNP	compound	Spring	GPE	True	False	False
Spring	Spring	PROPN	NNP	pobj	between	GPE	True	False	False
