Token	Lemma	POS	Tag	Dependency	Head	Ent Type	IsAlpha	IsPunct	IsStop
SOME	some	ADJ	JJ	compound	EFFECTS		True	False	True
EFFECTS	effect	NOUN	NNS	ROOT	EFFECTS		True	False	False
OF	of	ADP	IN	prep	EFFECTS		True	False	True
ENVIRONMENT	environment	NOUN	NN	pobj	OF		True	False	False
ON	on	ADP	IN	prep	ENVIRONMENT		True	False	True
THE	the	DET	DT	det	GROWTH		True	False	True
GROWTH	growth	NOUN	NN	pobj	ON		True	False	False
OF	of	ADP	IN	prep	GROWTH		True	False	True
LYMN^A	LYMN^A	PROPN	NNP	pobj	OF		False	False	False
COLUMELLA	COLUMELLA	PROPN	NNP	compound	Say.^		True	False	False
Say.^	Say.^	PROPN	NNP	punct	EFFECTS		False	False	False
by	by	ADP	IN	prep	EFFECTS		True	False	True
harold	harold	PROPN	NNP	compound	sellers		True	False	False
sellers	seller	NOUN	NNS	compound	colton		True	False	False
colton	colton	PROPN	NNP	pobj	by		True	False	False
.	.	PUNCT	.	punct	EFFECTS		False	True	False
"
"	"
"	SPACE	_SP	ROOT	"
"		False	False	False
Table	table	NOUN	NN	attr	"
"		True	False	False
of	of	ADP	IN	prep	Table		True	False	True
Contents	Contents	PROPN	NNPS	pobj	of		True	False	False
.	.	PUNCT	.	punct	Table		False	True	False
"
"	"
"	SPACE	_SP	ROOT	"
"		False	False	False
PAGE	page	NOUN	NN	npadvmod	"
"		True	False	False
I.	i.	X	LS	nummod	PAGE		False	False	False
"
"	"
"	SPACE	_SP	punct	PAGE		False	False	False
Introduction	introduction	NOUN	NN	appos	PAGE		True	False	False
410	410	NUM	CD	nummod	Introduction		False	False	False
II	ii	NUM	CD	nummod	Introduction		True	False	False
.	.	PUNCT	.	appos	PAGE		False	True	False
"
"	"
"	SPACE	_SP	punct	PAGE		False	False	False
Historical	historical	ADJ	JJ	amod	"
"		True	False	False
411	411	NUM	CD	nummod	.		False	False	False
III	iii	NUM	CD	nummod	411		True	False	False
.	.	PUNCT	.	npadvmod	Historical		False	True	False
"
"	"
"	SPACE	_SP	punct	PAGE		False	False	False
Materials	material	NOUN	NNS	appos	PAGE		True	False	False
412	412	NUM	CD	nummod	History		False	False	False
Natural	natural	ADJ	JJ	amod	History		True	False	False
History	history	NOUN	NN	appos	Materials		True	False	False
413	413	NUM	CD	nummod	Description		False	False	False
Description	description	NOUN	NN	appos	PAGE		True	False	False
of	of	ADP	IN	prep	Description		True	False	True
Dwarfs	dwarf	NOUN	NNS	pobj	of		True	False	False
414	414	NUM	CD	nummod	IV		False	False	False
IV	iv	NUM	CD	acl	Description		True	False	False
.	.	PUNCT	.	punct	PAGE		False	True	False
"
"	"
"	SPACE	_SP	ROOT	"
"		False	False	False
Methods	method	NOUN	NNS	npadvmod	"
"		True	False	False
415	415	NUM	CD	nummod	Precautions	CARDINAL	False	False	False
Precautions	precaution	NOUN	NNS	appos	Methods		True	False	False
416	416	NUM	CD	nummod	Measurements	CARDINAL	False	False	False
Measurements	measurement	NOUN	NNS	appos	Precautions		True	False	False
417	417	NUM	CD	nummod	Description	CARDINAL	False	False	False
Description	description	NOUN	NN	appos	Methods		True	False	False
of	of	ADP	IN	prep	Description		True	False	True
Tables	table	NOUN	NNS	pobj	of		True	False	False
418	418	NUM	CD	nummod	Analysis	CARDINAL	False	False	False
Analysis	analysis	NOUN	NN	appos	Methods		True	False	False
of	of	ADP	IN	prep	Analysis		True	False	True
Experiments	experiment	NOUN	NNS	pobj	of		True	False	False
418	418	NUM	CD	nummod	Analysis		False	False	False
V.	v.	X	LS	meta	Experiments		False	False	False
Experiments	experiment	NOUN	NNS	conj	Methods		True	False	False
on	on	ADP	IN	prep	Experiments		True	False	True
Growth	growth	NOUN	NN	pobj	on		True	False	False
of	of	ADP	IN	prep	Growth		True	False	True
Lymnita	Lymnita	PROPN	NNP	pobj	of		True	False	False
420	420	NUM	CD	nummod	Experiments		False	False	False
1	1	NUM	CD	nummod	Experiments		False	False	False
.	.	PUNCT	.	meta	"
"		False	True	False
"
"	"
"	SPACE	_SP	ROOT	"
"		False	False	False
Food	food	NOUN	NN	attr	"
"		True	False	False
:	:	PUNCT	:	punct	Food		False	True	False
Water	water	NOUN	NN	compound	Plants		True	False	False
Plants	plant	NOUN	NNS	appos	Food		True	False	False
...	...	PUNCT	NFP	punct	Food		False	True	False
^	^	PUNCT	NFP	punct	Food		False	False	False
420	420	NUM	CD	nummod	Effect		False	False	False
Effect	effect	NOUN	NN	appos	Food		True	False	False
of	of	ADP	IN	prep	Effect		True	False	True
Sediment	sediment	NOUN	NN	pobj	of		True	False	False
423	423	NUM	CD	nummod	Effect	CARDINAL	False	False	False
Effect	effect	NOUN	NN	appos	Effect		True	False	False
of	of	ADP	IN	prep	Effect		True	False	True
Fa?ces	fa?ce	NOUN	NNS	pobj	of		False	False	False
425	425	NUM	CD	nummod	Effects		False	False	False
Other	other	ADJ	JJ	amod	Effects		True	False	True
Effects	effect	NOUN	NNS	appos	Food		True	False	False
of	of	ADP	IN	prep	Effects		True	False	True
the	the	DET	DT	det	Plants		True	False	True
Water	water	NOUN	NN	compound	Plants		True	False	False
Plants	plant	NOUN	NNS	pobj	of		True	False	False
.	.	PUNCT	.	punct	Food		False	True	False
'	'	PUNCT	''	punct	Food		False	True	False
"
"	"
"	SPACE	_SP	punct	Summary		False	False	False
425	425	NUM	CD	meta	"
"		False	False	False
2	2	X	LS	meta	.		False	False	False
.	.	X	LS	meta	"
"		False	True	False
"
"	"
"	SPACE	_SP	npadvmod	"
"		False	False	False
Aeration	aeration	NOUN	NN	dobj	"
"		True	False	False
425	425	NUM	CD	nummod	Aeration		False	False	False
De	De	PROPN	NNP	compound	Varigny		True	False	False
Varigny	Varigny	PROPN	NNP	poss	Experiment		True	False	False
's	's	PART	POS	case	Varigny		False	False	True
Experiment	experiment	NOUN	NN	appos	Aeration		True	False	False
426	426	NUM	CD	nummod	Experiment		False	False	False
Willem	Willem	PROPN	NNP	poss	Experiment		True	False	False
's	's	PART	POS	case	Willem		False	False	True
Experiment	experiment	NOUN	NN	appos	Experiment		True	False	False
426	426	NUM	CD	nummod	Effect	CARDINAL	False	False	False
Effect	effect	NOUN	NN	appos	Aeration		True	False	False
of	of	ADP	IN	prep	Effect		True	False	True
Surface	surface	ADJ	JJ	amod	Aeration		True	False	False
Aeration	aeration	NOUN	NN	pobj	of		True	False	False
426	426	NUM	CD	nummod	Effect		False	False	False
Efifect	efifect	NOUN	NN	nummod	Aeration		True	False	False
of	of	ADP	IN	prep	Efifect		True	False	True
-Artificial	-artificial	ADJ	JJ	amod	Aeration		False	False	False
Aeration	aeration	NOUN	NN	appos	Aeration		True	False	False
428	428	NUM	CD	nummod	Aeration		False	False	False
3	3	X	LS	nummod	Aeration		False	False	False
.	.	X	LS	conj	Aeration		False	True	False
"
"	"
"	SPACE	_SP	conj	Aeration		False	False	False
Composition	composition	NOUN	NN	appos	Aeration		True	False	False
of	of	ADP	IN	prep	Composition		True	False	True
the	the	DET	DT	det	Water		True	False	True
Water	water	NOUN	NN	pobj	of		True	False	False
430	430	NUM	CD	nummod	Effect		False	False	False
Effect	effect	NOUN	NN	appos	Composition		True	False	False
of	of	ADP	IN	prep	Effect		True	False	True
Accumulation	accumulation	NOUN	NN	pobj	of		True	False	False
of	of	ADP	IN	prep	Accumulation		True	False	True
Excreted	excrete	VERB	VBN	amod	Matter		True	False	False
Matter	matter	NOUN	NN	pobj	of		True	False	False
430	430	NUM	CD	nummod	Effect	CARDINAL	False	False	False
Effect	effect	NOUN	NN	appos	Effect		True	False	False
of	of	ADP	IN	prep	Effect		True	False	True
Shell	shell	NOUN	NN	compound	Salts		True	False	False
Salts	salt	NOUN	NNS	pobj	of		True	False	False
434	434	NUM	CD	nummod	Effect	CARDINAL	False	False	False
Effect	effect	NOUN	NN	appos	Effect		True	False	False
of	of	ADP	IN	prep	Effect		True	False	True
Number	number	NOUN	NN	pobj	of		True	False	False
of	of	ADP	IN	prep	Number		True	False	True
Individuals	individual	NOUN	NNS	pobj	of		True	False	False
434	434	NUM	CD	nummod	Composition		False	False	False
4	4	NUM	CD	meta	.		False	False	False
.	.	X	LS	appos	Composition		False	True	False
