Token	Lemma	POS	Tag	Dependency	Head	Ent Type	IsAlpha	IsPunct	IsStop
ADDITIONS	addition	NOUN	NNS	ROOT	ADDITIONS		True	False	False
TO	to	ADP	IN	prep	ADDITIONS		True	False	True
THE	the	DET	DT	det	FAUNA.-V.		True	False	True
JAPANESE	japanese	ADJ	JJ	amod	SNAIL	NORP	True	False	False
LAND	land	NOUN	NN	compound	SNAIL		True	False	False
SNAIL	snail	NOUN	NN	compound	FAUNA.-V.		True	False	False
FAUNA.-V.	FAUNA.-V.	PROPN	NNP	pobj	TO		False	False	False
BY	by	ADP	IN	prep	ADDITIONS		True	False	True
HENRY	HENRY	PROPN	NNP	compound	PILSBRY	PERSON	True	False	False
A.	A.	PROPN	NNP	compound	PILSBRY	PERSON	False	False	False
PILSBRY	PILSBRY	PROPN	NNP	pobj	BY	PERSON	True	False	False
.	.	PUNCT	.	punct	ADDITIONS		False	True	False
"
"	"
"	SPACE	_SP	punct	resumed		False	False	False
The	the	DET	DT	det	descriptioa		True	False	True
descriptioa	descriptioa	NOUN	NN	nsubjpass	resumed		True	False	False
of	of	ADP	IN	prep	descriptioa		True	False	True
Japanese	japanese	ADJ	JJ	amod	ClausiliidoB	NORP	True	False	False
ClausiliidoB	ClausiliidoB	PROPN	NNP	pobj	of		True	False	False
is	be	AUX	VBZ	auxpass	resumed		True	False	True
resumed	resume	VERB	VBN	ROOT	resumed		True	False	False
in	in	ADP	IN	prep	resumed		True	False	True
the	the	DET	DT	det	paper		True	False	True
preseut	preseut	ADJ	JJ	amod	paper		True	False	False
paper	paper	NOUN	NN	pobj	in		True	False	False
.	.	PUNCT	.	punct	resumed		False	True	False
"
"	"
"	SPACE	_SP	punct	considered		False	False	False
Enough	enough	ADJ	JJ	amod	material		True	False	True
material	material	NOUN	NN	nsubj	is		True	False	False
is	be	AUX	VBZ	auxpass	dow		True	False	True
dow	dow	VERB	VBN	relcl	"
"		True	False	False
at	at	ADP	IN	prep	dow		True	False	True
hand	hand	NOUN	NN	pobj	at		True	False	False
to	to	PART	TO	aux	permit		True	False	True
permit	permit	VERB	VB	acl	dow		True	False	False
some	some	DET	DT	det	work		True	False	True
work	work	NOUN	NN	dobj	permit		True	False	False
looking	look	VERB	VBG	acl	work		True	False	False
beyond	beyond	ADP	IN	prep	looking		True	False	True
merely	merely	ADV	RB	advmod	descriptive		True	False	False
descriptive	descriptive	ADJ	JJ	amod	treatment		True	False	False
treatment	treatment	NOUN	NN	pobj	beyond		True	False	False
,	,	PUNCT	,	punct	dow		False	True	False
while	while	SCONJ	IN	mark	adds		True	False	True
every	every	DET	DT	det	sending		True	False	True
sending	sending	NOUN	NN	nsubj	adds		True	False	False
from	from	ADP	IN	prep	sending		True	False	True
Mr.	Mr.	PROPN	NNP	compound	Hirase		False	False	False
Hirase	Hirase	PROPN	NNP	pobj	from	PERSON	True	False	False
adds	add	VERB	VBZ	advcl	dow		True	False	False
to	to	ADP	IN	prep	adds		True	False	True
the	the	DET	DT	det	data		True	False	True
data	datum	NOUN	NNS	pobj	to		True	False	False
on	on	ADP	IN	prep	data		True	False	True
one	one	NUM	CD	pobj	on	CARDINAL	True	False	True
or	or	CCONJ	CC	cc	one		True	False	True
another	another	DET	DT	conj	one		True	False	True
of	of	ADP	IN	prep	one		True	False	True
the	the	DET	DT	det	problems		True	False	True
problems	problem	NOUN	NNS	pobj	of		True	False	False
presented	present	VERB	VBN	acl	problems		True	False	False
by	by	ADP	IN	agent	presented		True	False	True
these	these	DET	DT	det	es		True	False	True
intricately	intricately	ADV	RB	advmod	constructed		True	False	False
constructed	construct	VERB	VBN	amod	es		True	False	False
creatui	creatui	X	FW	compound	es		True	False	False
-	-	PUNCT	HYPH	punct	es		False	True	False
es	es	X	FW	pobj	by		True	False	False
.	.	PUNCT	.	punct	dow		False	True	False
"
"	"
"	SPACE	_SP	punct	considered		False	False	False
I	I	PRON	PRP	nsubj	considered		True	False	True
have	have	AUX	VBP	aux	considered		True	False	True
below	below	ADV	RB	advmod	considered		True	False	True
considered	consider	VERB	VBN	ROOT	considered		True	False	False
the	the	DET	DT	det	evolution		True	False	True
evolution	evolution	NOUN	NN	dobj	considered		True	False	False
of	of	ADP	IN	prep	evolution		True	False	True
the	the	DET	DT	det	lunella		True	False	True
""""	""""	PUNCT	``	punct	lunella		False	True	False
lunella	lunella	NOUN	NN	pobj	of		True	False	False
,	,	PUNCT	''	punct	lunella		False	True	False
""""	""""	PUNCT	''	punct	lunella		False	True	False
as	as	ADP	IN	mark	shown		True	False	True
shown	show	VERB	VBN	advcl	lunella		True	False	False
in	in	ADP	IN	prep	shown		True	False	True
some	some	DET	DT	det	species		True	False	True
newly	newly	ADV	RB	advmod	discovered		True	False	False
discovered	discover	VERB	VBN	amod	species		True	False	False
species	specie	NOUN	NNS	pobj	in		True	False	False
of	of	ADP	IN	prep	species		True	False	True
Stereophcedusa	Stereophcedusa	PROPN	NNP	pobj	of		True	False	False
,	,	PUNCT	,	punct	species		False	True	False
in	in	ADP	IN	prep	show		True	False	True
which	which	DET	WDT	pobj	in		True	False	True
young	young	ADJ	JJ	amod	shells		True	False	False
shells	shell	NOUN	NNS	nsubj	show		True	False	False
show	show	VERB	VBP	relcl	species		True	False	True
a	a	DET	DT	det	series		True	False	True
series	series	NOUN	NN	dobj	show		True	False	False
of	of	ADP	IN	prep	series		True	False	True
distinct	distinct	ADJ	JJ	amod	folds		True	False	False
palatal	palatal	ADJ	JJ	amod	folds		True	False	False
folds	fold	NOUN	NNS	pobj	of		True	False	False
,	,	PUNCT	,	punct	folds		False	True	False
like	like	ADP	IN	prep	folds		True	False	False
the	the	DET	DT	det	Clausiliidoi		True	False	True
European	european	ADJ	JJ	amod	Clausiliidoi	NORP	True	False	False
tertiary	tertiary	ADJ	JJ	amod	Clausiliidoi		True	False	False
Clausiliidoi	Clausiliidoi	PROPN	NNP	pobj	like		True	False	False
and	and	CCONJ	CC	cc	Clausiliidoi		True	False	True
the	the	DET	DT	det	forms		True	False	True
more	more	ADV	RBR	advmod	primitive		True	False	True
primitive	primitive	ADJ	JJ	amod	forms		True	False	False
forms	form	NOUN	NNS	conj	Clausiliidoi		True	False	False
of	of	ADP	IN	prep	forms		True	False	True
Eastern	Eastern	PROPN	NNP	compound	Asia	LOC	True	False	False
Asia	Asia	PROPN	NNP	pobj	of	LOC	True	False	False
,	,	PUNCT	,	punct	show		False	True	False
while	while	SCONJ	IN	mark	have		True	False	True
old	old	ADJ	JJ	amod	shells		True	False	False
shells	shell	NOUN	NNS	nsubj	have		True	False	False
have	have	VERB	VBP	advcl	show		True	False	True
a	a	DET	DT	det	lunella		True	False	True
true	true	ADJ	JJ	amod	lunella		True	False	False
lunella	lunella	NOUN	NN	dobj	have		True	False	False
.	.	PUNCT	.	punct	considered		False	True	False
"
"	"
"	SPACE	_SP	punct	observed		False	False	False
A	a	DET	DT	det	transformation		True	False	True
similar	similar	ADJ	JJ	amod	transformation		True	False	False
transformation	transformation	NOUN	NN	nsubjpass	observed		True	False	False
has	have	AUX	VBZ	aux	observed		True	False	True
likewise	likewise	ADV	RB	advmod	observed		True	False	False
been	be	AUX	VBN	auxpass	observed		True	False	True
observed	observe	VERB	VBN	ROOT	observed		True	False	False
in	in	ADP	IN	prep	observed		True	False	True
a	a	DET	DT	det	Mcgaloph(edusa		True	False	True
Mcgaloph(edusa	Mcgaloph(edusa	PROPN	NNP	pobj	in		False	False	False
just	just	ADV	RB	advmod	received		True	False	True
received	receive	VERB	VBN	acl	Mcgaloph(edusa		True	False	False
.	.	PUNCT	.	punct	observed		False	True	False
"
"	"
"	SPACE	_SP	punct	indicates		False	False	False
The	the	DET	DT	det	evidence		True	False	True
