Token	Lemma	POS	Tag	Dependency	Head	Ent Type	IsAlpha	IsPunct	IsStop
THE	the	DET	DT	det	DEVELOPMENT		True	False	True
DEVELOPMENT	development	NOUN	NN	nsubj	SAY		True	False	False
OF	of	ADP	IN	prep	DEVELOPMENT		True	False	True
THE	the	DET	DT	det	SHELL		True	False	True
SHELL	shell	NOUN	NN	pobj	OF		True	False	False
IN	in	ADP	IN	prep	SHELL		True	False	True
THE	the	DET	DT	det	STAGE		True	False	True
COILED	coil	VERB	VBN	amod	STAGE		True	False	False
STAGE	stage	NOUN	NN	pobj	IN		True	False	False
OF	of	ADP	IN	prep	STAGE		True	False	True
BACULITES	BACULITES	PROPN	NNP	compound	COMPRESSUS		True	False	False
COMPRESSUS	COMPRESSUS	PROPN	NNP	pobj	OF		True	False	False
SAY	say	VERB	VBP	ROOT	SAY		True	False	True
.	.	PUNCT	.	punct	SAY		False	True	False
"
"	"
"	SPACE	_SP	punct	SAY		False	False	False
BY	by	ADP	IN	agent	SAY		True	False	True
AMOS	AMOS	PROPN	NNP	compound	BROWN	PERSON	True	False	False
P.	P.	PROPN	NNP	compound	BROWN	PERSON	False	False	False
BROWN	BROWN	PROPN	NNP	ROOT	BROWN	PERSON	True	False	False
.	.	PUNCT	.	punct	BROWN		False	True	False
"
"	"
"	SPACE	_SP	punct	noted		False	False	False
In	in	ADP	IN	prep	noted		True	False	True
a	a	DET	DT	det	communication^		True	False	True
former	former	ADJ	JJ	amod	communication^		True	False	True
brief	brief	ADJ	JJ	amod	communication^		True	False	False
communication^	communication^	NOUN	NN	pobj	In		False	False	False
the	the	DET	DT	det	writer		True	False	True
writer	writer	NOUN	NN	nsubj	noted		True	False	False
lias	lias	PROPN	NNP	appos	writer	PERSON	True	False	False
noted	note	VERB	VBD	ROOT	noted		True	False	False
the	the	DET	DT	det	discovery		True	False	True
discovery	discovery	NOUN	NN	dobj	noted		True	False	False
of	of	ADP	IN	prep	discovery		True	False	True
theyoungof	theyoungof	X	FW	pobj	of		True	False	False
the	the	DET	DT	det	species		True	False	True
above	above	ADJ	JJ	amod	species		True	False	True
species	species	NOUN	NN	appos	theyoungof		True	False	False
in	in	ADP	IN	prep	discovery		True	False	True
some	some	DET	DT	det	marl		True	False	True
Cretaceous	cretaceous	ADJ	JJ	amod	marl		True	False	False
marl	marl	NOUN	NN	pobj	in		True	False	False
from	from	ADP	IN	prep	marl		True	False	True
near	near	SCONJ	IN	prep	from		True	False	False
Deadwood	Deadwood	PROPN	NNP	pobj	near	GPE	True	False	False
,	,	PUNCT	,	punct	Deadwood		False	True	False
